id;Operacao;Cod_Cliente;Dt_Operacao;Entrega;Nota;Serie;Situacao;Cliente;Nome;Produto;Descricao;Qtde;Valor
;251;260;03/06/2010;03/06/2010;161109;1;"""E""";260;"""AMBEV FILIAL JACAR""";7387;"""CARACU LATA 350ML TWE""";4610;63132,57
;251;260;10/06/2010;10/06/2010;162498;1;"""E""";260;"""AMBEV FILIAL JACAR""";7387;"""CARACU LATA 350ML TWE""";4611;63146,26
;251;260;10/06/2010;10/06/2010;162503;1;"""E""";260;"""AMBEV FILIAL JACAR""";361;"""BRAHMA EXTRA LONG NEC""";540;18854,26
;251;260;10/06/2010;10/06/2010;162503;1;"""E""";260;"""AMBEV FILIAL JACAR""";620;"""CARACU LONG NECK 355M""";607;21200,51
;251;260;10/06/2010;10/06/2010;162503;1;"""E""";260;"""AMBEV FILIAL JACAR""";6019;"""BOHEMIA WEISS TRIGO L""";62;2542,11
;251;260;10/06/2010;10/06/2010;162504;1;"""E""";260;"""AMBEV FILIAL JACAR""";7387;"""CARACU LATA 350ML TWE""";462;6326,95
;251;261;05/06/2010;05/06/2010;167365;1;"""E""";261;"""AMBEV - FILIAL JAG""";2750;"""ANTARCTICA PILSEN LON""";355;9408,74
;251;261;05/06/2010;05/06/2010;167365;1;"""E""";261;"""AMBEV - FILIAL JAG""";3735;"""BOHEMIA NOVA EMBALAGE""";396;11783,38
;251;261;05/06/2010;05/06/2010;167366;1;"""E""";261;"""AMBEV - FILIAL JAG""";5018;"""SKOL BEATS LONG NECK """;409;14808,7
;251;261;05/06/2010;05/06/2010;167366;1;"""E""";261;"""AMBEV - FILIAL JAG""";6161;"""LIBER LONG NECK 355ML""";70;2682,39
;251;261;05/06/2010;05/06/2010;167366;1;"""E""";261;"""AMBEV - FILIAL JAG""";8153;"""STELLA ARTOIS LONG NE""";147;5646,42
;251;261;05/06/2010;05/06/2010;167378;1;"""E""";261;"""AMBEV - FILIAL JAG""";392;"""SKOL LONG NECK 355ML """;1314;35447,25
;251;261;08/06/2010;08/06/2010;167814;1;"""E""";261;"""AMBEV - FILIAL JAG""";392;"""SKOL LONG NECK 355ML """;1313;35420,28
;251;261;08/06/2010;08/06/2010;167819;1;"""E""";261;"""AMBEV - FILIAL JAG""";7982;"""GATORADE LIMAO PET 50""";406;5364,07
;251;261;08/06/2010;08/06/2010;167819;1;"""E""";261;"""AMBEV - FILIAL JAG""";7983;"""GATORADE MORANGO-MARA""";407;5377,28
;251;261;08/06/2010;08/06/2010;167820;1;"""E""";261;"""AMBEV - FILIAL JAG""";7977;"""GATORADE UVA PET 500M""";204;2695,25
